"","municipio","estado"
"1","azcapotzalco","ciudad-de-mexico"
"2","coyoacan","ciudad-de-mexico"
"3","cuajimalpa-de-morelos","ciudad-de-mexico"
"4","gustavo-a-madero","ciudad-de-mexico"
"5","iztacalco","ciudad-de-mexico"
"6","iztapalapa","ciudad-de-mexico"
"7","la-magdalena-contreras","ciudad-de-mexico"
"8","milpa-alta","ciudad-de-mexico"
"9","alvaro-obregon","ciudad-de-mexico"
"10","tlahuac","ciudad-de-mexico"
"11","tlalpan","ciudad-de-mexico"
"12","xochimilco","ciudad-de-mexico"
"13","benito-juarez","ciudad-de-mexico"
"14","cuauhtemoc","ciudad-de-mexico"
"15","miguel-hidalgo","ciudad-de-mexico"
"16","venustiano-carranza","ciudad-de-mexico"
"17","tizayuca","hidalgo"
"18","acolman","estado-de-mexico"
"19","amecameca","estado-de-mexico"
"20","apaxco","estado-de-mexico"
"21","atenco","estado-de-mexico"
"22","atizapan-de-zaragoza","estado-de-mexico"
"23","atlautla","estado-de-mexico"
"24","axapusco","estado-de-mexico"
"25","ayapango","estado-de-mexico"
"26","coacalco-de-berriozabal","estado-de-mexico"
"27","cocotitlan","estado-de-mexico"
"28","coyotepec","estado-de-mexico"
"29","cuautitlan","estado-de-mexico"
"30","chalco","estado-de-mexico"
"31","chiautla","estado-de-mexico"
"32","chicoloapan","estado-de-mexico"
"33","chiconcuac","estado-de-mexico"
"34","chimalhuacan","estado-de-mexico"
"35","ecatepec-de-morelos","estado-de-mexico"
"36","ecatzingo","estado-de-mexico"
"37","huehuetoca","estado-de-mexico"
"38","hueypoxtla","estado-de-mexico"
"39","huixquilucan","estado-de-mexico"
"40","isidro-fabela","estado-de-mexico"
"41","ixtapaluca","estado-de-mexico"
"42","jaltenco","estado-de-mexico"
"43","jilotzingo","estado-de-mexico"
"44","juchitepec","estado-de-mexico"
"45","melchor-ocampo","estado-de-mexico"
"46","naucalpan-de-juarez","estado-de-mexico"
"47","nezahualcoyotl","estado-de-mexico"
"48","nextlalpan","estado-de-mexico"
"49","nicolas-romero","estado-de-mexico"
"50","nopaltepec","estado-de-mexico"
"51","otumba","estado-de-mexico"
"52","ozumba","estado-de-mexico"
"53","papalotla","estado-de-mexico"
"54","la-paz","estado-de-mexico"
"55","san-martin-de-las-piramides","estado-de-mexico"
"56","tecamac","estado-de-mexico"
"57","temamatla","estado-de-mexico"
"58","temascalapa","estado-de-mexico"
"59","tenango-del-aire","estado-de-mexico"
"60","teoloyucan","estado-de-mexico"
"61","teotihuacan","estado-de-mexico"
"62","tepetlaoxtoc","estado-de-mexico"
"63","tepetlixpa","estado-de-mexico"
"64","tepotzotlan","estado-de-mexico"
"65","tequixquiac","estado-de-mexico"
"66","texcoco","estado-de-mexico"
"67","tezoyuca","estado-de-mexico"
"68","tlalmanalco","estado-de-mexico"
"69","tlalnepantla-de-baz","estado-de-mexico"
"70","tultepec","estado-de-mexico"
"71","tultitlan","estado-de-mexico"
"72","villa-del-carbon","estado-de-mexico"
"73","zumpango","estado-de-mexico"
"74","cuautitlan-izcalli","estado-de-mexico"
"75","valle-de-chalco-solidaridad","estado-de-mexico"
"76","tonanitla","estado-de-mexico"